[1772590280] [apply_action] freq=501 Hz, last_dt=2033 us
[1772590281] [apply_action] freq=501 Hz, last_dt=2003 us
[1772590282] [apply_action] freq=501 Hz, last_dt=1995 us
[1772590283] [apply_action] freq=500 Hz, last_dt=2005 us
[1772590284] [apply_action] freq=500 Hz, last_dt=2016 us
[1772590285] [apply_action] freq=500 Hz, last_dt=2034 us
[1772590286] [apply_action] freq=501 Hz, last_dt=2007 us
[1772590287] [apply_action] freq=501 Hz, last_dt=2041 us
[1772590288] [apply_action] freq=501 Hz, last_dt=2006 us
[1772590289] [apply_action] freq=501 Hz, last_dt=2051 us
[1772590290] [apply_action] freq=501 Hz, last_dt=2069 us
[1772590291] [apply_action] freq=501 Hz, last_dt=2015 us
[1772590292] [apply_action] freq=501 Hz, last_dt=2021 us
[1772590293] [apply_action] freq=500 Hz, last_dt=2015 us
[1772590294] [apply_action] freq=501 Hz, last_dt=2033 us
[1772590295] [apply_action] freq=501 Hz, last_dt=2042 us
[1772590296] [apply_action] freq=500 Hz, last_dt=2006 us
[1772590297] [apply_action] freq=501 Hz, last_dt=1986 us
[1772590298] [apply_action] freq=501 Hz, last_dt=2010 us
[1772590299] [apply_action] freq=501 Hz, last_dt=1980 us
[1772590300] [apply_action] freq=500 Hz, last_dt=1972 us
[1772590301] [apply_action] freq=501 Hz, last_dt=1998 us
[1772590302] [apply_action] freq=500 Hz, last_dt=1991 us
[1772590303] [apply_action] freq=500 Hz, last_dt=1980 us
[1772590304] [apply_action] freq=501 Hz, last_dt=1979 us
[1772590305] [apply_action] freq=500 Hz, last_dt=2017 us
[1772590306] [apply_action] freq=500 Hz, last_dt=2031 us
[1772590307] [apply_action] freq=501 Hz, last_dt=2012 us
[1772590308] [apply_action] freq=500 Hz, last_dt=2085 us
[1772590309] [apply_action] freq=501 Hz, last_dt=1973 us
[1772590310] [apply_action] freq=500 Hz, last_dt=1946 us
[1772590311] [apply_action] freq=501 Hz, last_dt=2056 us
[1772590312] [apply_action] freq=501 Hz, last_dt=2016 us
[1772590313] [apply_action] freq=500 Hz, last_dt=2030 us
[1772590314] [apply_action] freq=501 Hz, last_dt=2048 us
[1772590315] [apply_action] freq=501 Hz, last_dt=2027 us
[1772590316] [apply_action] freq=501 Hz, last_dt=1981 us
[1772590317] [apply_action] freq=500 Hz, last_dt=2022 us
[1772590318] [apply_action] freq=501 Hz, last_dt=1989 us
[1772590319] [apply_action] freq=500 Hz, last_dt=1993 us
[1772590320] [apply_action] freq=501 Hz, last_dt=2006 us
